Pizza_type_id,Name,Category,Description
211,Family House Party – Veg Deluxe Combo,Veg,Large Veg Extravaganza Pizza + 2 Garlic Bread + 4 Choco lava cake + 2 Pepsi
212,Family House Party – Veg Deluxe Combo,Nonveg,Large Veg Extravaganza Pizza + 2 Garlic Bread + 4 Choco lava cake + 2 Pepsi
213,Pizza & Juice Partnership - Paneer Spl Combo  (Meal for 1),Veg,Reg Peppy Paneer + B Natural Mixed Fruit from Himalayas
214,Pizza & Juice Partnership - Paneer Spl Combo  (Meal for 1),Nonveg,Reg Peppy Paneer + B Natural Mixed Fruit from Himalayas
215,Ultimate Cheese Burst Deluxe Combo (Veg),Veg,Medium Farmhouse Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
216,Ultimate Cheese Burst Deluxe Combo (Veg),Nonveg,Medium Farmhouse Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
217,Ultimate Cheese Burst Deluxe Combo (N Veg),Veg,Medium Pepper BBQ Chicken Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
218,Ultimate Cheese Burst Deluxe Combo (N Veg),Nonveg,Medium Pepper BBQ Chicken Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
219,Ultimate Cheese Burst Premium Combo (Veg),Veg,Medium Veg Extravaganza Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
220,Ultimate Cheese Burst Premium Combo (Veg),Nonveg,Medium Veg Extravaganza Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
221,Ultimate Cheese Burst Premium Combo (N Veg),Veg,Medium Chicken Dominator Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
222,Ultimate Cheese Burst Premium Combo (N Veg),Nonveg,Medium Chicken Dominator Cheese Burst Pizza + Choco Lava Cake + Garlic Bread
223,Movie Marathons Specials (Veg),Veg,Reg Fresh Veggie Pizza + Garlic Bread + Pepsi
224,Movie Marathons Specials (Veg),Nonveg,Reg Fresh Veggie Pizza + Garlic Bread + Pepsi
225,Movie Marathons Specials (N. Veg),Veg,Reg Pepper BBQ Chicken Pizza + Garlic Bread + Pepsi
226,Movie Marathons Specials (N. Veg),Nonveg,Reg Pepper BBQ Chicken Pizza + Garlic Bread + Pepsi
227,Pizza & Juice Partnership - Kids Combo (Meal for 1),Veg,Reg Double Cheese Margherita + B Natural Alphonsos from Ratnagiri
228,Pizza & Juice Partnership - Kids Combo (Meal for 1),Nonveg,Reg Double Cheese Margherita + B Natural Alphonsos from Ratnagiri
229,Red Velvet Lava Cake,Veg,A truly indulgent experience with sweet and rich red velvet cake on a creamy cheese flavoured base to give a burst of flavour in every bite!
230,Red Velvet Lava Cake,Nonveg,A truly indulgent experience with sweet and rich red velvet cake on a creamy cheese flavoured base to give a burst of flavour in every bite!
